,r_kd,b_kd,r_str,b_str,r_td,b_td,r_sub,b_sub,weight_class,time
6488,1.0,0.0,22.0,9.0,0.0,4.0,0.0,2.0,2,10.0
1192,0.0,0.0,230.0,159.0,3.0,1.0,1.0,0.0,2,25.0
3648,0.0,0.0,4.0,6.0,4.0,0.0,2.0,0.0,2,4.0
6822,0.0,0.0,23.0,23.0,1.0,0.0,1.0,0.0,2,9.0
3679,0.0,0.0,41.0,43.0,5.0,0.0,0.0,0.0,2,15.0
5476,1.0,0.0,35.0,18.0,2.0,0.0,1.0,0.0,4,9.0
3238,5.0,0.0,96.0,29.0,0.0,0.0,0.0,0.0,2,15.0
3726,3.0,0.0,31.0,8.0,0.0,0.0,0.0,0.0,2,3.0
6311,2.0,0.0,28.0,9.0,0.0,0.0,0.0,0.0,2,3.0
185,0.0,0.0,70.0,79.0,0.0,0.0,0.0,0.0,4,15.0
4454,1.0,0.0,13.0,4.0,0.0,0.0,1.0,0.0,3,1.0
6164,0.0,0.0,32.0,20.0,1.0,0.0,0.0,0.0,4,15.0
2177,1.0,0.0,39.0,34.0,0.0,0.0,0.0,0.0,4,15.0
423,1.0,0.0,28.0,39.0,0.0,3.0,0.0,0.0,2,7.0
5195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1.0
557,1.0,0.0,117.0,60.0,1.0,0.0,0.0,0.0,1,15.0
1409,0.0,0.0,36.0,23.0,0.0,0.0,1.0,0.0,1,10.0
6648,1.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,3,1.0
5386,0.0,0.0,72.0,41.0,6.0,1.0,0.0,1.0,3,15.0
3383,0.0,0.0,40.0,26.0,0.0,5.0,1.0,0.0,2,15.0
6980,0.0,0.0,28.0,18.0,0.0,1.0,2.0,3.0,2,11.0
5637,2.0,0.0,15.0,6.0,1.0,0.0,0.0,1.0,2,5.0
446,0.0,1.0,61.0,54.0,0.0,1.0,0.0,0.0,3,15.0
3051,1.0,0.0,80.0,32.0,1.0,1.0,0.0,0.0,2,8.0
1782,0.0,0.0,16.0,19.0,4.0,0.0,0.0,1.0,3,15.0
4438,1.0,0.0,59.0,32.0,1.0,0.0,0.0,0.0,2,8.0
2315,0.0,0.0,67.0,68.0,2.0,0.0,0.0,0.0,1,15.0
6727,1.0,0.0,10.0,3.0,1.0,1.0,0.0,0.0,3,4.0
700,1.0,0.0,33.0,15.0,2.0,0.0,2.0,0.0,2,12.0
1906,0.0,0.0,40.0,46.0,0.0,0.0,0.0,0.0,2,15.0
6982,1.0,0.0,23.0,18.0,2.0,0.0,2.0,0.0,4,14.0
4347,0.0,0.0,36.0,17.0,6.0,0.0,0.0,1.0,2,15.0
181,1.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,2,0.0
3938,1.0,0.0,27.0,16.0,0.0,1.0,0.0,0.0,2,5.0
802,3.0,0.0,61.0,92.0,0.0,2.0,0.0,0.0,1,17.0
2037,1.0,0.0,38.0,28.0,1.0,8.0,0.0,0.0,2,15.0
4327,1.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,3,0.0
2327,0.0,0.0,94.0,67.0,0.0,2.0,0.0,0.0,2,15.0
2190,0.0,0.0,180.0,58.0,3.0,1.0,1.0,1.0,1,25.0
2246,0.0,0.0,21.0,37.0,1.0,1.0,3.0,2.0,2,15.0
3149,1.0,0.0,45.0,42.0,0.0,0.0,0.0,0.0,1,12.0
4273,0.0,0.0,32.0,27.0,2.0,0.0,0.0,0.0,1,15.0
5012,0.0,0.0,80.0,42.0,1.0,0.0,1.0,0.0,1,15.0
2431,0.0,0.0,56.0,65.0,4.0,0.0,0.0,0.0,3,15.0
6549,0.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,3,4.0
534,0.0,0.0,147.0,75.0,11.0,1.0,0.0,0.0,1,25.0
5755,0.0,0.0,24.0,35.0,2.0,2.0,0.0,0.0,2,15.0
2426,0.0,0.0,80.0,64.0,1.0,0.0,0.0,0.0,2,15.0
5955,0.0,0.0,20.0,5.0,2.0,0.0,3.0,0.0,3,9.0
717,0.0,0.0,9.0,18.0,0.0,2.0,1.0,0.0,1,4.0
1718,0.0,0.0,42.0,85.0,2.0,2.0,1.0,0.0,2,15.0
2852,0.0,0.0,42.0,29.0,0.0,1.0,1.0,0.0,2,15.0
562,0.0,0.0,53.0,29.0,1.0,0.0,0.0,0.0,4,15.0
6261,2.0,0.0,34.0,16.0,2.0,1.0,0.0,1.0,2,15.0
5039,0.0,0.0,16.0,8.0,1.0,0.0,1.0,0.0,2,7.0
1383,1.0,0.0,93.0,63.0,1.0,0.0,0.0,0.0,2,15.0
6200,1.0,0.0,29.0,15.0,3.0,0.0,0.0,0.0,3,12.0
6997,0.0,0.0,27.0,0.0,1.0,0.0,3.0,0.0,4,4.0
916,2.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,2,1.0
5460,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2,0.0
1445,0.0,0.0,55.0,40.0,3.0,0.0,0.0,1.0,3,15.0
3010,0.0,0.0,63.0,28.0,1.0,4.0,0.0,1.0,2,15.0
6308,0.0,0.0,44.0,35.0,0.0,0.0,0.0,0.0,3,15.0
6192,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,0.0
2050,0.0,0.0,99.0,68.0,0.0,0.0,0.0,0.0,2,15.0
5528,0.0,0.0,12.0,5.0,1.0,0.0,1.0,0.0,2,2.0
6226,0.0,0.0,32.0,32.0,2.0,0.0,0.0,0.0,3,15.0
3192,1.0,0.0,24.0,14.0,0.0,1.0,0.0,0.0,2,4.0
4181,0.0,0.0,59.0,46.0,0.0,3.0,2.0,3.0,1,15.0
935,0.0,0.0,85.0,96.0,1.0,0.0,1.0,0.0,1,25.0
5679,0.0,0.0,14.0,4.0,0.0,2.0,1.0,0.0,3,4.0
7449,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,4,1.0
6692,0.0,0.0,25.0,11.0,3.0,2.0,0.0,5.0,2,15.0
15,0.0,0.0,48.0,22.0,0.0,7.0,0.0,2.0,2,15.0
6724,0.0,0.0,10.0,11.0,3.0,0.0,2.0,1.0,3,3.0
318,1.0,0.0,41.0,27.0,0.0,0.0,0.0,0.0,2,6.0
4084,1.0,0.0,38.0,17.0,1.0,0.0,0.0,0.0,1,5.0
5288,2.0,1.0,43.0,43.0,0.0,0.0,0.0,0.0,3,9.0
1170,1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,3,0.0
1834,1.0,0.0,42.0,24.0,0.0,0.0,0.0,0.0,4,8.0
4518,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,4,0.0
3999,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3,0.0
1717,0.0,0.0,11.0,2.0,2.0,0.0,0.0,0.0,3,2.0
1374,0.0,0.0,45.0,23.0,0.0,0.0,0.0,0.0,2,3.0
417,0.0,0.0,28.0,19.0,6.0,1.0,0.0,0.0,1,15.0
1221,0.0,0.0,25.0,0.0,1.0,0.0,3.0,0.0,2,3.0
2110,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,2,1.0
7410,0.0,0.0,16.0,18.0,0.0,0.0,0.0,0.0,4,13.0
4666,1.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,2,1.0
5773,0.0,0.0,60.0,63.0,10.0,1.0,1.0,0.0,1,25.0
7172,0.0,0.0,11.0,9.0,0.0,1.0,0.0,1.0,3,2.0
6778,1.0,0.0,78.0,46.0,0.0,0.0,0.0,0.0,2,10.0
1179,0.0,0.0,43.0,38.0,1.0,1.0,1.0,0.0,2,13.0
6551,0.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,2,3.0
4565,0.0,0.0,6.0,4.0,0.0,2.0,0.0,0.0,3,2.0
7002,0.0,0.0,12.0,1.0,0.0,2.0,1.0,1.0,4,6.0
2341,2.0,0.0,36.0,29.0,0.0,0.0,1.0,0.0,2,15.0
3073,0.0,0.0,20.0,51.0,3.0,3.0,1.0,2.0,2,15.0
6685,0.0,0.0,57.0,40.0,0.0,1.0,0.0,0.0,3,6.0
1334,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2,2.0
5499,1.0,0.0,15.0,22.0,0.0,1.0,0.0,0.0,3,6.0
5556,0.0,0.0,28.0,1.0,1.0,0.0,0.0,0.0,4,3.0
4139,1.0,0.0,57.0,21.0,0.0,1.0,0.0,0.0,2,15.0
4685,0.0,0.0,80.0,82.0,2.0,2.0,0.0,0.0,2,25.0
6911,0.0,2.0,18.0,13.0,6.0,0.0,0.0,3.0,2,15.0
4592,1.0,0.0,168.0,53.0,1.0,1.0,0.0,0.0,2,25.0
7108,2.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,4,1.0
3435,0.0,0.0,105.0,84.0,0.0,0.0,0.0,0.0,1,15.0
390,0.0,0.0,71.0,51.0,4.0,0.0,1.0,0.0,2,15.0
5439,0.0,0.0,65.0,61.0,3.0,0.0,0.0,0.0,2,15.0
1041,0.0,0.0,76.0,60.0,0.0,3.0,0.0,0.0,1,15.0
4787,0.0,0.0,79.0,54.0,0.0,0.0,0.0,0.0,2,9.0
5037,1.0,1.0,14.0,18.0,1.0,1.0,1.0,0.0,3,3.0
4813,0.0,1.0,118.0,25.0,5.0,0.0,4.0,1.0,2,12.0
6290,0.0,0.0,12.0,8.0,1.0,1.0,3.0,1.0,4,4.0
6993,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,2,0.0
3176,1.0,0.0,23.0,30.0,0.0,4.0,0.0,0.0,3,11.0
6376,0.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,2,1.0
1019,1.0,0.0,30.0,13.0,0.0,0.0,0.0,0.0,4,5.0
3299,1.0,0.0,24.0,25.0,0.0,2.0,0.0,0.0,2,8.0
940,1.0,0.0,16.0,1.0,1.0,0.0,1.0,0.0,3,1.0
2273,1.0,0.0,123.0,181.0,1.0,1.0,0.0,0.0,4,19.0
698,1.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,2,1.0
537,0.0,0.0,38.0,47.0,0.0,3.0,1.0,2.0,1,15.0
3566,0.0,0.0,74.0,61.0,0.0,0.0,0.0,0.0,3,15.0
3320,0.0,0.0,31.0,34.0,1.0,3.0,0.0,0.0,3,15.0
1462,0.0,0.0,22.0,33.0,3.0,0.0,1.0,0.0,2,5.0
659,2.0,0.0,32.0,20.0,1.0,0.0,0.0,0.0,1,6.0
33,0.0,0.0,114.0,52.0,0.0,1.0,0.0,0.0,1,15.0
5371,0.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0,2,2.0
44,0.0,1.0,23.0,20.0,5.0,0.0,0.0,0.0,3,15.0
3780,1.0,1.0,18.0,14.0,0.0,1.0,0.0,1.0,3,4.0
5100,1.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,3,2.0
973,1.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,2,0.0
4649,1.0,0.0,25.0,18.0,0.0,2.0,2.0,0.0,2,6.0
5345,0.0,0.0,17.0,12.0,3.0,0.0,1.0,0.0,4,6.0
6555,0.0,0.0,38.0,16.0,2.0,0.0,0.0,5.0,2,15.0
2512,0.0,0.0,70.0,11.0,3.0,0.0,0.0,0.0,3,15.0
2021,1.0,0.0,25.0,46.0,1.0,0.0,1.0,0.0,1,6.0
4610,1.0,0.0,64.0,53.0,0.0,0.0,0.0,0.0,2,15.0
2609,0.0,0.0,76.0,28.0,3.0,0.0,1.0,0.0,1,10.0
1885,0.0,1.0,11.0,26.0,8.0,2.0,1.0,0.0,1,15.0
1698,1.0,0.0,94.0,51.0,1.0,0.0,0.0,0.0,3,6.0
5538,0.0,0.0,25.0,35.0,1.0,3.0,0.0,0.0,2,15.0
5565,0.0,0.0,15.0,5.0,0.0,0.0,1.0,0.0,3,1.0
2884,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,3,0.0
26,1.0,0.0,28.0,50.0,0.0,3.0,4.0,1.0,2,7.0
4023,0.0,0.0,59.0,57.0,3.0,2.0,2.0,0.0,2,15.0
63,0.0,0.0,95.0,67.0,0.0,0.0,0.0,0.0,3,15.0
1053,0.0,0.0,19.0,15.0,4.0,0.0,1.0,0.0,1,7.0
5270,0.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,3,3.0
3514,0.0,0.0,20.0,23.0,1.0,5.0,1.0,0.0,2,15.0
2955,1.0,0.0,46.0,24.0,0.0,0.0,0.0,0.0,3,12.0
1466,0.0,0.0,14.0,5.0,3.0,0.0,0.0,0.0,4,15.0
229,0.0,0.0,8.0,0.0,0.0,2.0,1.0,1.0,2,3.0
2905,1.0,0.0,34.0,15.0,0.0,0.0,0.0,0.0,3,6.0
3425,0.0,0.0,49.0,13.0,0.0,4.0,0.0,1.0,3,8.0
3688,0.0,0.0,32.0,6.0,7.0,0.0,1.0,2.0,3,14.0
6696,0.0,0.0,50.0,11.0,2.0,0.0,0.0,2.0,2,15.0
6615,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2,0.0
1212,1.0,0.0,18.0,22.0,0.0,0.0,0.0,0.0,2,4.0
5781,0.0,0.0,93.0,41.0,0.0,0.0,1.0,0.0,2,10.0
978,0.0,0.0,5.0,4.0,0.0,1.0,1.0,0.0,1,1.0
4872,1.0,0.0,35.0,26.0,3.0,0.0,0.0,0.0,2,15.0
2149,0.0,0.0,12.0,25.0,4.0,0.0,0.0,0.0,2,15.0
3602,0.0,0.0,10.0,14.0,1.0,0.0,1.0,0.0,3,7.0
